g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
1.0,0.704938,0.00784197,68.2,128,2.019,19,72,72,1,1,3847294296,43035976,10192616,"[144, 288, 504, 1080]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.1,0.74252,0.00819614,68.2,128,2.019,19,72,72,1,1,3847294296,43035976,10192616,"[144, 288, 504, 1080]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.2000000000000002,0.717938,0.00806137,68.2,128,2.019,19,72,80,1,1,3950368044,46012812,10170220,"[144, 288, 480, 1120]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 80, 80]"
1.3000000000000003,0.724711,0.00834146,68.2,128,2.019,19,72,88,1,1,4009725768,43952296,10241864,"[144, 288, 528, 1056]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 88, 88]"
1.4000000000000004,0.682385,0.007781430000000001,68.2,128,2.019,19,72,96,1,1,3932149788,43999996,10062812,"[144, 288, 480, 1056]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 96, 96]"
1.5000000000000004,0.746903,0.00832746,68.2,128,2.019,19,72,104,1,1,4091501074,44720402,10185170,"[144, 288, 520, 1040]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 104, 104]"
1.6000000000000005,0.719683,0.007940260000000001,68.2,128,2.019,19,72,112,1,1,4142008420,49327812,10050852,"[144, 288, 448, 1120]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 112, 112]"
1.7000000000000006,0.73999,0.00805036,68.2,128,2.019,19,72,120,1,1,4209033954,48317842,10103090,"[144, 288, 480, 1080]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 120, 120]"
1.8000000000000007,0.699984,0.00727405,68.2,128,2.019,19,72,128,1,1,4241781852,46366588,10128476,"[144, 288, 512, 1024]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 128, 128]"
1.9000000000000008,0.752042,0.00763651,68.2,128,2.019,19,72,136,1,1,4602624052,52077524,10355252,"[144, 288, 544, 1088]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 136, 136]"
2.000000000000001,0.832044,0.00828547,68.2,128,2.019,19,72,144,1,1,4984783884,58128940,10582028,"[144, 288, 576, 1152]","[1, 3, 5, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 144, 144]"
1.0,0.5700170000000001,0.00766098,46.2,64,2.356,24,32,32,1,1,1950403232,29420864,6932960,"[64, 160, 352, 832]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.1,0.616101,0.007694,46.2,64,2.356,24,32,32,1,1,1950403232,29420864,6932960,"[64, 160, 352, 832]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.2000000000000002,0.626161,0.00789988,46.2,64,2.356,24,32,32,1,1,1950403232,29420864,6932960,"[64, 160, 352, 832]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.3000000000000003,0.6796789999999999,0.00830825,46.2,64,2.356,24,32,40,1,1,2063720646,30976646,6989214,"[64, 160, 360, 840]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.4000000000000004,0.6785119999999999,0.00832043,46.2,64,2.356,24,32,40,1,1,2063720646,30976646,6989214,"[64, 160, 360, 840]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.5000000000000004,0.564431,0.00803989,46.2,64,2.356,24,32,48,1,1,2014723860,30129908,6820452,"[64, 160, 336, 816]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.6000000000000005,0.546135,0.00773452,46.2,64,2.356,24,32,48,1,1,2014723860,30129908,6820452,"[64, 160, 336, 816]","[1, 3, 7, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
