w_a,energy,latency,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
34.0,0.628069,0.0060316400000000004,88,2.344,21,72,72,1,1,3757719816,18508888,10531592,"[72, 216, 504, 1152]","[2, 5, 13, 1]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
36.0,0.584573,0.00717107,88,2.344,21,72,72,1,1,3761305362,21616210,10405394,"[72, 216, 504, 1152]","[2, 5, 12, 2]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
38.0,0.656143,0.00659496,88,2.344,21,72,72,1,1,3745689732,25430644,10067876,"[72, 216, 504, 1152]","[2, 4, 12, 3]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
40.0,0.7014600000000001,0.00754357,88,2.344,21,72,72,1,1,3749275278,28537966,9941678,"[72, 216, 504, 1152]","[2, 4, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
42.0,0.657018,0.007239499999999999,88,2.344,21,72,72,1,1,3752860824,31645288,9815480,"[72, 216, 504, 1152]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
44.0,0.707542,0.00726748,88,2.344,21,72,72,1,1,3756446370,34752610,9689282,"[72, 216, 504, 1152]","[2, 4, 9, 6]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
46.0,0.701673,0.00741524,88,2.344,21,72,72,1,1,3737245194,35459722,9477962,"[72, 216, 504, 1152]","[2, 3, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
48.0,0.64618,0.00768949,88,2.344,21,72,72,1,1,3744915912,38765080,9182600,"[72, 216, 504, 1152]","[1, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
50.0,0.71265,0.00785855,88,2.344,21,72,72,1,1,3744915912,38765080,9182600,"[72, 216, 504, 1152]","[1, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
52.0,0.6874210000000001,0.00855991,88,2.344,21,72,72,1,1,3748501458,41872402,9056402,"[72, 216, 504, 1152]","[1, 4, 8, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
54.0,0.669398,0.008040160000000001,88,2.344,21,72,72,1,1,3748501458,41872402,9056402,"[72, 216, 504, 1152]","[1, 4, 8, 8]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
56.0,0.667627,0.00823997,88,2.344,21,72,72,1,1,3752087004,44979724,8930204,"[72, 216, 504, 1152]","[1, 4, 7, 9]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
58.0,0.777104,0.00849372,88,2.344,21,72,72,1,1,3732885828,45686836,8718884,"[72, 216, 504, 1152]","[1, 3, 8, 9]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
60.0,0.761096,0.00861385,88,2.344,21,72,72,1,1,3736471374,48794158,8592686,"[72, 216, 504, 1152]","[1, 3, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
62.0,0.6908569999999999,0.008420790000000001,88,2.344,21,72,72,1,1,3736471374,48794158,8592686,"[72, 216, 504, 1152]","[1, 3, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
64.0,0.760558,0.008373950000000002,88,2.344,21,72,72,1,1,3736471374,48794158,8592686,"[72, 216, 504, 1152]","[1, 3, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
