w_m,energy,latency,w_a,w_0,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
2.0,0.298691,0.00453904,41.2,64,17,24,24,1,1,724212816,8480512,4680056,"[72, 120, 264, 504]","[1, 2, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.05,0.309608,0.00509331,41.2,64,17,24,24,1,1,778745580,9550780,4880324,"[72, 120, 264, 552]","[1, 3, 4, 9]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.099,0.33098200000000005,0.00479744,41.2,64,17,24,24,1,1,914905320,10378936,5354600,"[72, 144, 288, 600]","[1, 3, 5, 8]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.149,0.354735,0.0049421099999999996,41.2,64,17,24,24,1,1,940352754,11006578,5387762,"[72, 144, 288, 624]","[1, 3, 5, 8]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.199,0.349193,0.00536355,41.2,64,17,24,24,1,1,1031481210,11594026,5627834,"[72, 144, 312, 672]","[1, 3, 6, 7]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.249,0.352254,0.0049500099999999995,41.2,64,17,24,24,1,1,1074257652,11679892,5764148,"[72, 144, 312, 720]","[1, 3, 7, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.299,0.366103,0.00494935,41.2,64,17,24,24,1,1,1174406370,13135042,5934050,"[72, 144, 336, 768]","[1, 3, 7, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.349,0.382953,0.005163770000000001,41.2,64,17,24,24,1,1,1284262392,13423384,6344336,"[72, 144, 360, 840]","[1, 4, 7, 5]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.399,0.37591,0.0050225600000000006,41.2,64,17,24,24,1,1,1306875396,12715396,6469796,"[72, 144, 360, 888]","[1, 4, 8, 4]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.449,0.382536,0.005030979999999999,41.2,64,17,24,24,1,1,1464055230,12199438,7028294,"[72, 168, 384, 936]","[1, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.499,0.406671,0.0052644599999999995,41.2,64,17,24,24,1,1,1590081384,13746712,7220504,"[72, 168, 408, 1008]","[1, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.549,0.394171,0.00516157,41.2,64,17,24,24,1,1,1582425030,11953990,7335110,"[72, 168, 408, 1056]","[1, 4, 10, 2]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.599,0.38346800000000003,0.0049616600000000005,41.2,64,17,24,24,1,1,1664623854,10417438,7618118,"[72, 168, 432, 1128]","[1, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
2.05,0.615032,0.008409050000000001,51.5,104,23,64,64,1,1,3121153616,37031152,9138512,"[128, 192, 448, 896]","[1, 3, 7, 12]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.099,0.651246,0.00896296,51.5,104,23,64,64,1,1,3299627712,40441312,9452736,"[128, 192, 448, 960]","[1, 4, 6, 12]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.149,0.76351,0.008962099999999999,51.5,104,23,64,64,1,1,4042070288,44122800,10808592,"[128, 256, 512, 1024]","[1, 4, 7, 11]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.199,0.737548,0.00963373,51.5,104,23,64,64,1,1,4223200160,45553856,11065888,"[128, 256, 512, 1088]","[1, 4, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.249,0.812217,0.00960899,51.5,104,23,64,64,1,1,4496526576,46208912,11906160,"[128, 256, 512, 1152]","[2, 3, 9, 9]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.299,0.894552,0.0105086,51.5,104,23,64,64,1,1,5160199232,51224800,12904256,"[128, 256, 576, 1280]","[2, 4, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.349,0.9014909999999999,0.0103735,51.5,104,23,64,64,1,1,5287177456,50652176,13132848,"[128, 256, 576, 1344]","[2, 4, 10, 7]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.399,0.9102619999999999,0.0102609,51.5,104,23,64,64,1,1,5421658384,53887792,13211792,"[128, 256, 576, 1408]","[2, 4, 10, 7]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.449,1.0183,0.0111143,51.5,104,23,64,64,1,1,6066245648,57844400,13946384,"[128, 256, 640, 1536]","[2, 4, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.499,0.9822569999999999,0.0109374,51.5,104,23,64,64,1,1,6131586864,55008464,14155760,"[128, 256, 640, 1600]","[2, 4, 12, 5]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.549,0.962668,0.0104595,51.5,104,23,64,64,1,1,6234107648,52240928,14621952,"[128, 256, 640, 1728]","[2, 5, 12, 4]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.599,0.9082910000000001,0.0105703,51.5,104,23,64,64,1,1,6755340448,50275136,15324320,"[128, 256, 704, 1792]","[2, 5, 13, 3]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.649,0.953322,0.0100153,51.5,104,23,64,64,1,1,6618724992,36331040,15666688,"[128, 256, 704, 1920]","[2, 5, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.0,1.03179,0.0114105,58.9,168,23,64,64,1,1,6579004624,61703792,16014736,"[192, 320, 640, 1344]","[2, 4, 8, 9]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.05,1.13553,0.0119216,58.9,168,23,64,64,1,1,7306687760,67829040,16759056,"[192, 320, 704, 1472]","[2, 4, 9, 8]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.099,1.22749,0.0123271,58.9,168,23,64,64,1,1,8399731152,70291696,18265040,"[192, 384, 768, 1536]","[2, 4, 10, 7]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.149,1.24448,0.012527,58.9,168,23,64,64,1,1,8796416976,70441712,19079888,"[192, 384, 768, 1664]","[2, 5, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.199,1.32954,0.0127311,58.9,168,23,64,64,1,1,9586942432,73506048,19870688,"[192, 384, 832, 1792]","[2, 5, 11, 5]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.249,1.16974,0.012554500000000001,58.9,168,23,64,64,1,1,9790090128,71380272,20196240,"[192, 384, 832, 1920]","[2, 5, 12, 4]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.299,1.32871,0.012011599999999999,58.9,168,23,64,64,1,1,10526990320,60141328,21624304,"[192, 384, 896, 2048]","[2, 6, 13, 2]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.349,1.3580699999999999,0.0117732,58.9,168,23,64,64,1,1,10530696912,52020976,21892688,"[192, 384, 896, 2176]","[2, 6, 14, 1]","[1.0, 1.0, 1.0, 1.0]","[64, 64, 64, 64]"
2.0,0.841742,0.00959389,53.1,128,24,80,80,1,1,4505003324,50051676,11336636,"[160, 240, 480, 1040]","[1, 4, 7, 12]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.05,0.855496,0.0102888,53.1,128,24,80,80,1,1,5411234804,54963956,12991956,"[160, 240, 560, 1120]","[2, 3, 8, 11]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.099,0.975847,0.0106021,53.1,128,24,80,80,1,1,5645271084,60621676,13138076,"[160, 240, 560, 1200]","[2, 3, 8, 11]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.149,0.9710679999999999,0.0105612,53.1,128,24,80,80,1,1,5911821264,61903856,13659216,"[160, 240, 560, 1280]","[2, 4, 8, 10]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.199,1.1163299999999998,0.0114779,53.1,128,24,80,80,1,1,7114996944,66852656,15412736,"[160, 320, 640, 1360]","[2, 4, 9, 9]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.249,1.18626,0.0119283,53.1,128,24,80,80,1,1,7336568024,67546616,15698776,"[160, 320, 640, 1440]","[2, 4, 10, 8]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.299,1.15834,0.0117628,53.1,128,24,80,80,1,1,7516558104,67209016,15961096,"[160, 320, 640, 1520]","[2, 4, 11, 7]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.349,1.21268,0.0123685,53.1,128,24,80,80,1,1,8543669264,72711696,17243696,"[160, 320, 720, 1680]","[2, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.399,1.1819300000000001,0.0118645,53.1,128,24,80,80,1,1,8599587244,62591436,17657196,"[160, 320, 720, 1760]","[2, 5, 13, 4]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.449,1.25778,0.0124837,53.1,128,24,80,80,1,1,9592842304,65053536,18645696,"[160, 320, 800, 1920]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.499,1.21904,0.0119832,53.1,128,24,80,80,1,1,9570933284,56384036,19153476,"[160, 320, 800, 2000]","[2, 6, 14, 2]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
2.549,1.1706800000000002,0.0115398,53.1,128,24,80,80,1,1,9505075864,47736056,19355896,"[160, 320, 800, 2080]","[2, 6, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
