Platform,NN Model,Op Type,"Op Shape (H×W×IC×OC, K×K)",CPU-Only,GPU-Only,"CPU+GPU (Sync, p=0.5)","CPU+GPU (Computing, p=0.5)"
Snapdraon 855,MobileNet-v1,Conv2D,"224×224×3×32, 3×3",0.725,0.211,0.939,0.38
,,Conv2D,"112×112×32×64, 1×1",0.981,0.315,1.132,0.57
,,Conv2D,"56×56×64×128, 1×1",0.620,0.301,0.993,0.345
,,Conv2D,"56×56×128×128, 1×1",1.071,0.58,1.051,0.628
,,Conv2D,"28×28×128×256, 1×1",0.477,0.295,0.96,0.265
,,Conv2D,"28×28×256×256, 1×1",0.860,0.569,0.991,0.483
,,Conv2D,"14×14×256×512, 1×1",0.449,0.325,0.952,0.242
,,Conv2D,"14×14×512×512, 1×1",0.926,0.632,0.975,0.463
,,Conv2D,"14×14×512×512, 1×1",0.870,0.634,0.976,0.454
,,Conv2D,"14×14×512×512, 1×1",0.858,0.634,0.969,0.455
,,Conv2D,"14×14×512×512, 1×1",0.864,0.638,0.995,0.469
,,Conv2D,"14×14×512×512, 1×1",0.860,0.635,0.968,0.456
,,Conv2D,"7×7×512×1024, 1×1",0.627,0.458,0.964,0.318
,,Conv2D,"7×7×1024×1024, 1×1",1.301,0.907,0.952,0.649
,,Pooling,"7×7×1024×1024, 1×1",0.035,0.015,0.906,0.022
,,Conv2D,"1×1×1024×1001, 1×1",0.703,0.328,0.933,0.351
