g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
1.0,0.402375,0.0044457,42.6,80,2.496,18,24,24,1,1,2201493942,13321702,9161174,"[72, 192, 504, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.1,0.407144,0.00452908,42.6,80,2.496,18,24,24,1,1,2201493942,13321702,9161174,"[72, 192, 504, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.2000000000000002,0.39390499999999995,0.004992880000000001,42.6,80,2.496,18,24,24,1,1,2201493942,13321702,9161174,"[72, 192, 504, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.3000000000000003,0.382167,0.00504095,42.6,80,2.496,18,24,24,1,1,2201493942,13321702,9161174,"[72, 192, 504, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
1.4000000000000004,0.368377,0.00506262,42.6,80,2.496,18,24,32,1,1,2326553956,14076852,9219300,"[72, 192, 512, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.5000000000000004,0.36477800000000005,0.004951939999999999,42.6,80,2.496,18,24,32,1,1,2326553956,14076852,9219300,"[72, 192, 512, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.6000000000000005,0.365241,0.0049882400000000006,42.6,80,2.496,18,24,32,1,1,2326553956,14076852,9219300,"[72, 192, 512, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 32, 32]"
1.7000000000000006,0.39417599999999997,0.0051455599999999995,42.6,80,2.496,18,24,40,1,1,2452479466,14806746,9274674,"[72, 192, 520, 1240]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
1.8000000000000007,0.39571100000000003,0.00517142,42.6,80,2.496,18,24,40,1,1,2452479466,14806746,9274674,"[72, 192, 520, 1240]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
1.9000000000000008,0.391897,0.00510712,42.6,80,2.496,18,24,40,1,1,2452479466,14806746,9274674,"[72, 192, 520, 1240]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 40, 40]"
2.000000000000001,0.371817,0.00496155,42.6,80,2.496,18,24,48,1,1,2317866924,13972348,8986796,"[72, 192, 480, 1248]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 48, 48]"
1.0,0.38433999999999996,0.00482757,40.0,72,2.443,18,48,48,1,1,2428124172,16939372,9128684,"[96, 192, 432, 1056]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.1,0.38884500000000005,0.0049332099999999995,40.0,72,2.443,18,48,48,1,1,2428124172,16939372,9128684,"[96, 192, 432, 1056]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.2000000000000002,0.387102,0.00520069,40.0,72,2.443,18,48,56,1,1,2568177116,17997660,9231204,"[96, 192, 448, 1064]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.3000000000000003,0.391955,0.00517596,40.0,72,2.443,18,48,56,1,1,2568177116,17997660,9231204,"[96, 192, 448, 1064]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.4000000000000004,0.370813,0.00492866,40.0,72,2.443,18,48,64,1,1,2607965776,17861808,9205584,"[96, 192, 448, 1024]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 64, 64]"
1.5000000000000004,0.397355,0.00519305,40.0,72,2.443,18,48,72,1,1,2643723168,18868192,9144056,"[96, 192, 432, 1080]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.6000000000000005,0.389947,0.00512,40.0,72,2.443,18,48,72,1,1,2643723168,18868192,9144056,"[96, 192, 432, 1080]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.7000000000000006,0.407165,0.00493911,40.0,72,2.443,18,48,80,1,1,2536989548,17834892,8923644,"[96, 192, 400, 1040]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.8000000000000007,0.354113,0.004732579999999999,40.0,72,2.443,18,48,80,1,1,2536989548,17834892,8923644,"[96, 192, 400, 1040]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.9000000000000008,0.40787599999999996,0.00516943,40.0,72,2.443,18,48,88,1,1,2796373734,19708550,9177382,"[96, 192, 440, 1056]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 88, 88]"
2.000000000000001,0.35462299999999997,0.00481248,40.0,72,2.443,18,48,96,1,1,2599087344,18638800,8836496,"[96, 192, 384, 1056]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 96, 96]"
1.0,0.380664,0.00437367,24.1,72,2.18,22,32,32,1,1,1675464200,11967848,7932040,"[64, 160, 352, 736]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.1,0.37907,0.004558919999999999,24.1,72,2.18,22,32,32,1,1,1675464200,11967848,7932040,"[64, 160, 352, 736]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.2000000000000002,0.365701,0.00480403,24.1,72,2.18,22,32,32,1,1,1675464200,11967848,7932040,"[64, 160, 352, 736]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.3000000000000003,0.37536200000000003,0.0052664999999999995,24.1,72,2.18,22,32,40,1,1,1762290858,12405002,7977546,"[64, 160, 360, 720]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.4000000000000004,0.377036,0.00529167,24.1,72,2.18,22,32,40,1,1,1762290858,12405002,7977546,"[64, 160, 360, 720]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.5000000000000004,0.342957,0.00500383,24.1,72,2.18,22,32,48,1,1,1729136736,12294368,7803168,"[64, 160, 336, 720]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.6000000000000005,0.34008499999999997,0.00494686,24.1,72,2.18,22,32,48,1,1,1729136736,12294368,7803168,"[64, 160, 336, 720]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.7000000000000006,0.345872,0.00506865,24.1,72,2.18,22,32,48,1,1,1729136736,12294368,7803168,"[64, 160, 336, 720]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.8000000000000007,0.351863,0.0051373899999999995,24.1,72,2.18,22,32,56,1,1,1796904230,12897398,7809478,"[64, 160, 336, 728]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
1.9000000000000008,0.353351,0.00518945,24.1,72,2.18,22,32,56,1,1,1796904230,12897398,7809478,"[64, 160, 336, 728]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
2.000000000000001,0.376121,0.0053094200000000005,24.1,72,2.18,22,32,64,1,1,2106418008,15366776,8189784,"[64, 160, 384, 768]","[2, 5, 11, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 64, 64]"
1.0,1.32602,0.0124642,71.3,160,2.534,24,56,56,1,1,12637371334,98224438,22268694,"[168, 392, 1008, 2576]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 56, 56]"
1.1,1.2229,0.0125977,71.3,160,2.534,24,56,56,1,1,12637371334,98224438,22268694,"[168, 392, 1008, 2576]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 56, 56]"
1.2000000000000002,1.3188900000000001,0.0118509,71.3,160,2.534,24,56,64,1,1,13051997926,100557430,22402982,"[168, 392, 1024, 2560]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 64, 64]"
1.3000000000000003,1.4072200000000001,0.0126225,71.3,160,2.534,24,56,72,1,1,13116038014,101953326,22278942,"[168, 392, 1008, 2592]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 72, 72]"
1.4000000000000004,1.2998599999999998,0.0128393,71.3,160,2.534,24,56,72,1,1,13116038014,101953326,22278942,"[168, 392, 1008, 2592]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 72, 72]"
1.5000000000000004,1.21863,0.013021000000000001,71.3,160,2.534,24,56,80,1,1,13733601470,105115054,22547518,"[168, 392, 1040, 2560]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 80, 80]"
1.6000000000000005,1.27295,0.0132213,71.3,160,2.534,24,56,88,1,1,12957830998,100243958,21891982,"[168, 392, 968, 2552]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 88, 88]"
1.7000000000000006,1.27176,0.0133567,71.3,160,2.534,24,56,88,1,1,12957830998,100243958,21891982,"[168, 392, 968, 2552]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 88, 88]"
1.8000000000000007,1.2590299999999999,0.012958,71.3,160,2.534,24,56,96,1,1,13132474102,102572934,21845334,"[168, 392, 960, 2592]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 96, 96]"
1.9000000000000008,1.3693,0.0139519,71.3,160,2.534,24,56,104,1,1,14497829770,111414554,22573138,"[168, 392, 1040, 2600]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 104, 104]"
2.000000000000001,1.27131,0.012936999999999999,71.3,160,2.534,24,56,112,1,1,14222261830,109231798,22268694,"[168, 392, 1008, 2576]","[2, 5, 14, 3]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 112, 112]"
1.0,0.937846,0.0114666,60.9,120,2.306,24,88,88,1,1,6609037554,82446738,12114402,"[88, 264, 616, 1496]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 88, 88]"
1.1,0.835153,0.0105314,60.9,120,2.306,24,88,96,1,1,6631072442,85728266,11938042,"[88, 264, 576, 1536]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 96, 96]"
1.2000000000000002,0.868537,0.010609799999999999,60.9,120,2.306,24,88,104,1,1,6787402562,82456114,12095970,"[88, 264, 624, 1456]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 104, 104]"
1.3000000000000003,0.888575,0.010829700000000001,60.9,120,2.306,24,88,112,1,1,7240481438,85860238,12388158,"[88, 264, 672, 1456]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 112, 112]"
1.4000000000000004,0.8716119999999999,0.0108881,60.9,120,2.306,24,88,120,1,1,6835943696,83103584,11923024,"[88, 264, 600, 1440]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 120, 120]"
1.5000000000000004,0.905255,0.0108918,60.9,120,2.306,24,88,128,1,1,7570837130,94235098,12327626,"[88, 264, 640, 1536]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 128, 128]"
1.6000000000000005,0.9615499999999999,0.0113719,60.9,120,2.306,24,88,136,1,1,7850090690,94037218,12503986,"[88, 264, 680, 1496]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 136, 136]"
1.7000000000000006,0.932035,0.0105793,60.9,120,2.306,24,88,144,1,1,7053247778,86403890,11776930,"[88, 264, 576, 1440]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 144, 144]"
1.8000000000000007,0.9193579999999999,0.01079,60.9,120,2.306,24,88,152,1,1,7687593182,96008782,12105982,"[88, 264, 608, 1520]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 152, 152]"
1.9000000000000008,0.9781770000000001,0.0111413,60.9,120,2.306,24,88,160,1,1,7762551026,91964674,12166514,"[88, 264, 640, 1440]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 160, 160]"
2.000000000000001,0.950576,0.0106602,60.9,120,2.306,24,88,176,1,1,8416038970,95124106,12502394,"[88, 264, 704, 1408]","[2, 3, 9, 10]","[1.0, 1.0, 1.0, 1.0]","[88, 88, 176, 176]"
1.0,0.702361,0.008318830000000001,45.5,128,2.112,25,32,32,1,1,4451879056,48206512,13335504,"[128, 256, 576, 1216]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.1,0.702182,0.008197240000000001,45.5,128,2.112,25,32,32,1,1,4451879056,48206512,13335504,"[128, 256, 576, 1216]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.2000000000000002,0.733778,0.0083108,45.5,128,2.112,25,32,32,1,1,4451879056,48206512,13335504,"[128, 256, 576, 1216]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.3000000000000003,0.728209,0.008340249999999999,45.5,128,2.112,25,32,40,1,1,4446811928,47961304,13204200,"[128, 256, 560, 1200]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.4000000000000004,0.7330679999999999,0.00846722,45.5,128,2.112,25,32,40,1,1,4446811928,47961304,13204200,"[128, 256, 560, 1200]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.5000000000000004,0.7443289999999999,0.00836824,45.5,128,2.112,25,32,48,1,1,4653988192,49697792,13311024,"[128, 256, 576, 1200]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.6000000000000005,0.752374,0.00852259,45.5,128,2.112,25,32,48,1,1,4653988192,49697792,13311024,"[128, 256, 576, 1200]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.7000000000000006,0.747324,0.008409330000000001,45.5,128,2.112,25,32,48,1,1,4653988192,49697792,13311024,"[128, 256, 576, 1200]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.8000000000000007,0.768014,0.00860077,45.5,128,2.112,25,32,56,1,1,4757753976,52181304,13253160,"[128, 256, 560, 1232]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
1.9000000000000008,0.8074020000000001,0.00864298,45.5,128,2.112,25,32,56,1,1,4757753976,52181304,13253160,"[128, 256, 560, 1232]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
2.000000000000001,0.750893,0.00994521,45.5,128,2.112,25,32,64,1,1,4931461264,53017264,13335504,"[128, 256, 576, 1216]","[2, 4, 10, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 64, 64]"
1.0,0.412481,0.00571474,28.5,72,2.194,21,72,72,1,1,2301157944,17235928,7613216,"[72, 144, 360, 792]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.1,0.395533,0.00573687,28.5,72,2.194,21,72,72,1,1,2301157944,17235928,7613216,"[72, 144, 360, 792]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.2000000000000002,0.35968700000000003,0.00492863,28.5,72,2.194,21,72,80,1,1,2202332980,16940068,7353652,"[72, 144, 320, 800]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 80, 80]"
1.3000000000000003,0.386749,0.00531111,28.5,72,2.194,21,72,88,1,1,2394364884,18108036,7559804,"[72, 144, 352, 792]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 88, 88]"
1.4000000000000004,0.391943,0.00520122,28.5,72,2.194,21,72,96,1,1,2586801300,18990340,7750964,"[72, 144, 384, 768]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 96, 96]"
1.5000000000000004,0.377804,0.0051563,28.5,72,2.194,21,72,104,1,1,2376872304,19064496,7330224,"[72, 144, 312, 832]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 104, 104]"
1.6000000000000005,0.372171,0.004966020000000001,28.5,72,2.194,21,72,112,1,1,2499046812,19071084,7445484,"[72, 144, 336, 784]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 112, 112]"
1.7000000000000006,0.41644600000000004,0.0055259,28.5,72,2.194,21,72,120,1,1,2741496600,21715768,7658192,"[72, 144, 360, 840]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 120, 120]"
1.8000000000000007,0.402632,0.00538949,28.5,72,2.194,21,72,128,1,1,2857751700,21202180,7750964,"[72, 144, 384, 768]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 128, 128]"
1.9000000000000008,0.436397,0.00561126,28.5,72,2.194,21,72,136,1,1,3114784128,23780992,7956176,"[72, 144, 408, 816]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 136, 136]"
2.000000000000001,0.378639,0.00487045,28.5,72,2.194,21,72,144,1,1,2583954468,21836116,7199972,"[72, 144, 288, 864]","[2, 4, 10, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 144, 144]"
1.0,0.22997,0.0035846399999999996,24.6,48,2.309,18,48,48,1,1,933624972,7220812,4801868,"[48, 96, 240, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.1,0.22368700000000002,0.00340258,24.6,48,2.309,18,48,48,1,1,933624972,7220812,4801868,"[48, 96, 240, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.2000000000000002,0.22827799999999998,0.00358108,24.6,48,2.309,18,48,56,1,1,920737164,7073580,4691852,"[48, 96, 224, 560]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.3000000000000003,0.23225200000000001,0.0036688800000000002,24.6,48,2.309,18,48,56,1,1,920737164,7073580,4691852,"[48, 96, 224, 560]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.4000000000000004,0.238728,0.00392219,24.6,48,2.309,18,48,64,1,1,1057346112,8141184,4899264,"[48, 96, 256, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 64, 64]"
1.5000000000000004,0.24309899999999998,0.00376302,24.6,48,2.309,18,48,72,1,1,979860222,7773310,4655774,"[48, 96, 216, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.6000000000000005,0.250728,0.0037984200000000003,24.6,48,2.309,18,48,72,1,1,979860222,7773310,4655774,"[48, 96, 216, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.7000000000000006,0.24732200000000001,0.00372411,24.6,48,2.309,18,48,80,1,1,1078588352,8279776,4789248,"[48, 96, 240, 560]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.8000000000000007,0.24481299999999998,0.00367571,24.6,48,2.309,18,48,80,1,1,1078588352,8279776,4789248,"[48, 96, 240, 560]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.9000000000000008,0.259031,0.00408369,24.6,48,2.309,18,48,88,1,1,1231480344,9894504,4979512,"[48, 96, 264, 616]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 88, 88]"
2.000000000000001,0.234077,0.0036364,24.6,48,2.309,18,48,96,1,1,1011649392,8256688,4509680,"[48, 96, 192, 576]","[2, 3, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 96, 96]"
1.0,0.823945,0.008449120000000001,64.4,168,2.104,22,32,32,1,1,6288235976,62824552,16252008,"[160, 352, 736, 1568]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.1,0.780798,0.00851223,64.4,168,2.104,22,32,32,1,1,6288235976,62824552,16252008,"[160, 352, 736, 1568]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.2000000000000002,0.794635,0.00855474,64.4,168,2.104,22,32,32,1,1,6288235976,62824552,16252008,"[160, 352, 736, 1568]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
1.3000000000000003,0.822921,0.00875182,64.4,168,2.104,22,32,40,1,1,6302454288,63029456,16144744,"[160, 352, 720, 1560]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.4000000000000004,0.824797,0.008808350000000001,64.4,168,2.104,22,32,40,1,1,6302454288,63029456,16144744,"[160, 352, 720, 1560]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 40, 40]"
1.5000000000000004,0.836611,0.008610079999999999,64.4,168,2.104,22,32,48,1,1,6488540316,65630588,16174348,"[160, 352, 720, 1584]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.6000000000000005,0.830978,0.00851369,64.4,168,2.104,22,32,48,1,1,6488540316,65630588,16174348,"[160, 352, 720, 1584]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.7000000000000006,0.903621,0.008672589999999999,64.4,168,2.104,22,32,48,1,1,6488540316,65630588,16174348,"[160, 352, 720, 1584]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 48, 48]"
1.8000000000000007,0.8713930000000001,0.009017889999999999,64.4,168,2.104,22,32,56,1,1,6632815214,66304974,16203310,"[160, 352, 728, 1568]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
1.9000000000000008,0.8655,0.00889358,64.4,168,2.104,22,32,56,1,1,6632815214,66304974,16203310,"[160, 352, 728, 1568]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 56, 56]"
2.000000000000001,0.883471,0.00891554,64.4,168,2.104,22,32,64,1,1,6957515040,67412288,16407328,"[160, 352, 768, 1536]","[2, 4, 9, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 64, 64]"
1.0,0.604349,0.008102700000000001,43.8,96,2.296,22,56,56,1,1,3892442610,34883986,11367202,"[112, 224, 504, 1176]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 56, 56]"
1.1,0.605348,0.008053280000000001,43.8,96,2.296,22,56,56,1,1,3892442610,34883986,11367202,"[112, 224, 504, 1176]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 56, 56]"
1.2000000000000002,0.57021,0.00744523,43.8,96,2.296,22,56,64,1,1,3994504584,35127560,11394568,"[112, 224, 512, 1152]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 64, 64]"
1.3000000000000003,0.585483,0.0074584099999999995,43.8,96,2.296,22,56,72,1,1,4046657988,35722900,11341156,"[112, 224, 504, 1152]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 72, 72]"
1.4000000000000004,0.585269,0.00766626,43.8,96,2.296,22,56,72,1,1,4046657988,35722900,11341156,"[112, 224, 504, 1152]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 72, 72]"
1.5000000000000004,0.56898,0.0072084,43.8,96,2.296,22,56,80,1,1,4085186388,37610548,11233012,"[112, 224, 480, 1200]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 80, 80]"
1.6000000000000005,0.593221,0.00767766,43.8,96,2.296,22,56,88,1,1,4366486134,37995558,11492710,"[112, 224, 528, 1144]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 88, 88]"
1.7000000000000006,0.592592,0.0077794100000000005,43.8,96,2.296,22,56,88,1,1,4366486134,37995558,11492710,"[112, 224, 528, 1144]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 88, 88]"
1.8000000000000007,0.5663680000000001,0.007410440000000001,43.8,96,2.296,22,56,96,1,1,4192434168,37457848,11180920,"[112, 224, 480, 1152]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 96, 96]"
1.9000000000000008,0.604026,0.00784877,43.8,96,2.296,22,56,104,1,1,4514001042,39444434,11439298,"[112, 224, 520, 1144]","[2, 4, 10, 6]","[1.0, 1.0, 1.0, 1.0]","[56, 56, 104, 104]"
