w_a,energy,latency,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
24.0,0.266916,0.00388952,48,2.142,22,24,24,1,1,703995942,8557030,4526726,"[48, 96, 216, 480]","[1, 4, 7, 10]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
26.0,0.27223899999999995,0.00396134,48,2.142,22,24,24,1,1,701058822,9195718,4371974,"[48, 96, 216, 480]","[1, 3, 7, 11]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
28.0,0.276727,0.00406283,48,2.142,22,24,24,1,1,701376816,9714016,4315856,"[48, 96, 216, 480]","[1, 3, 6, 12]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
30.0,0.274901,0.00402409,48,2.142,22,24,24,1,1,701376816,9714016,4315856,"[48, 96, 216, 480]","[1, 3, 6, 12]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 24, 24]"
34.0,0.51137,0.00687061,80,2.572,25,32,32,1,1,3319820672,23062176,11311104,"[64, 192, 512, 1344]","[2, 6, 15, 2]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
36.0,0.537538,0.0071248100000000005,80,2.572,25,32,32,1,1,3415539488,27825984,11058528,"[64, 192, 512, 1344]","[2, 5, 15, 3]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
38.0,0.576055,0.00711938,80,2.572,25,32,32,1,1,3480638256,31932112,10956080,"[64, 192, 512, 1344]","[2, 5, 14, 4]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
40.0,0.5697559999999999,0.0073637600000000004,80,2.572,25,32,32,1,1,3545737024,36038240,10853632,"[64, 192, 512, 1344]","[2, 5, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
42.0,0.587689,0.00742781,80,2.572,25,32,32,1,1,3641455840,40802048,10601056,"[64, 192, 512, 1344]","[2, 4, 13, 6]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
44.0,0.629768,0.00754811,80,2.572,25,32,32,1,1,3706554608,44908176,10498608,"[64, 192, 512, 1344]","[2, 4, 12, 7]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
46.0,0.621193,0.00759385,80,2.572,25,32,32,1,1,3771653376,49014304,10396160,"[64, 192, 512, 1344]","[2, 4, 11, 8]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
48.0,0.6151639999999999,0.00751452,80,2.572,25,32,32,1,1,3771653376,49014304,10396160,"[64, 192, 512, 1344]","[2, 4, 11, 8]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
50.0,0.6549470000000001,0.00785679,80,2.572,25,32,32,1,1,3885050688,53897824,9993216,"[64, 192, 512, 1344]","[1, 4, 11, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
52.0,0.702802,0.00796219,80,2.572,25,32,32,1,1,3950149456,58003952,9890768,"[64, 192, 512, 1344]","[1, 4, 10, 10]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
54.0,0.656535,0.00784147,80,2.572,25,32,32,1,1,3950149456,58003952,9890768,"[64, 192, 512, 1344]","[1, 4, 10, 10]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
56.0,0.674219,0.00794611,80,2.572,25,32,32,1,1,4015248224,62110080,9788320,"[64, 192, 512, 1344]","[1, 4, 9, 11]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
58.0,0.6767569999999999,0.00797384,80,2.572,25,32,32,1,1,4015248224,62110080,9788320,"[64, 192, 512, 1344]","[1, 4, 9, 11]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
60.0,0.684926,0.00797035,80,2.572,25,32,32,1,1,4080346992,66216208,9685872,"[64, 192, 512, 1344]","[1, 4, 8, 12]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
62.0,0.692575,0.00802675,80,2.572,25,32,32,1,1,4080346992,66216208,9685872,"[64, 192, 512, 1344]","[1, 4, 8, 12]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
64.0,0.699087,0.008195009999999999,80,2.572,25,32,32,1,1,4110967040,66873888,9535744,"[64, 192, 512, 1344]","[1, 3, 9, 12]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
66.0,0.707191,0.00818882,80,2.572,25,32,32,1,1,4176065808,70980016,9433296,"[64, 192, 512, 1344]","[1, 3, 8, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
68.0,0.738385,0.0085164,80,2.572,25,32,32,1,1,4176065808,70980016,9433296,"[64, 192, 512, 1344]","[1, 3, 8, 13]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
70.0,0.721741,0.008253209999999999,80,2.572,25,32,32,1,1,4241164576,75086144,9330848,"[64, 192, 512, 1344]","[1, 3, 7, 14]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
