w_m,energy,latency,w_a,w_0,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
2.0,0.242792,0.00396369,25.8,48,18,40,40,1,1,560821664,6286656,3454256,"[40, 80, 200, 400]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.05,0.22020699999999999,0.00375669,25.8,48,18,40,40,1,1,567817414,5913206,3512806,"[40, 80, 200, 400]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.099,0.235243,0.0038423600000000004,25.8,48,18,40,40,1,1,682614454,6356406,4028526,"[40, 120, 200, 440]","[1, 3, 7, 7]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.149,0.239407,0.0035101399999999997,25.8,48,18,40,40,1,1,804097394,7400546,4415186,"[40, 120, 240, 480]","[1, 4, 6, 7]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.199,0.251148,0.00390099,25.8,48,18,40,40,1,1,840768584,7572616,4528856,"[40, 120, 240, 520]","[1, 4, 7, 6]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.249,0.236643,0.00329947,25.8,48,18,40,40,1,1,869566074,7550506,4630666,"[40, 120, 240, 560]","[1, 4, 8, 5]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.299,0.238649,0.00335529,25.8,48,18,40,40,1,1,889544264,7310216,4720616,"[40, 120, 240, 600]","[1, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.349,0.247773,0.00358139,25.8,48,18,40,40,1,1,1017632904,8499736,4995656,"[40, 120, 280, 640]","[1, 4, 9, 4]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.399,0.24265199999999998,0.00350548,25.8,48,18,40,40,1,1,1039086694,7688326,5302766,"[40, 120, 280, 680]","[2, 4, 9, 3]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.449,0.263869,0.00377237,25.8,48,18,40,40,1,1,1044534284,6874876,5386636,"[40, 120, 280, 720]","[2, 4, 10, 2]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.499,0.23910499999999998,0.00334556,25.8,48,18,40,40,1,1,1037695374,5755246,5458646,"[40, 120, 280, 760]","[2, 4, 11, 1]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
2.05,0.404305,0.005068710000000001,49.0,88,20,32,32,1,1,1775450424,20976088,7415096,"[96, 192, 384, 768]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.099,0.397478,0.005222139999999999,49.0,88,20,32,32,1,1,1886375496,23697000,7522504,"[96, 192, 384, 832]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.149,0.44170800000000005,0.0050755800000000005,49.0,88,20,32,32,1,1,2029303184,24050608,7831472,"[96, 192, 416, 864]","[1, 3, 7, 9]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.199,0.44970299999999996,0.00499735,49.0,88,20,32,32,1,1,2143276216,24481688,8243640,"[96, 192, 416, 928]","[1, 4, 7, 8]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
2.249,0.443025,0.00562867,49.0,88,20,32,32,1,1,2344841280,27640096,8489152,"[96, 192, 448, 992]","[1, 4, 7, 8]","[1.0, 1.0, 1.0, 1.0]","[32, 32, 32, 32]"
